Topic_group,Document,clean_document,word_count
HR Support,access to new pas friday february hi guys please rights involved level thanks discipline lead,access to new pas friday february hi guys please rights involved level thanks discipline lead,15
HR Support,new starter bucharest friday pm hello va date administration officer,new starter bucharest friday pm hello va date administration officer,10
HR Support,set up new service sn friday pm sn hello please find attached sn form thanks regards,set up new service sn friday pm sn hello please find attached sn form thanks regards,16
HR Support,access to friday february hello please assist thanks kind regards infrastructure friday february hi senior administrator,access to friday february hello please assist thanks kind regards infrastructure friday february hi senior administrator,16
HR Support,allocation pm allocation importance high hi please make changes allocate allocate thank blvd floor,allocation pm allocation importance high hi please make changes allocate allocate thank blvd floor,14
Hardware,monitor request vulcan friday october pm hello please log each user monitor allocation user vulcan thank weekend engineer friday october vulcan parte ne va respective va,monitor request vulcan friday october pm hello please log each user monitor allocation user vulcan thank weekend engineer friday october vulcan parte ne va respective va,26
Hardware,stopped when docker start was executed sent wednesday february hi we having same problem we had few days ago server was stopped when executed docker start looks like if machine have enough resources docker moment we cannot access server similar issue thanks for your help senior developer,stopped when docker start was executed sent wednesday february hi we having same problem we had few days ago server was stopped when executed docker start looks like if machine have enough resources docker moment we cannot access server similar issue thanks for your help senior developer,47
Hardware,issue re access through for hello still work attached log error received during installation restarted machine disconnected tethered phone can connect thank you,issue re access through for hello still work attached log error received during installation restarted machine disconnected tethered phone can connect thank you,23
Hardware,extra laptop for trainings october trainings importance high hello guys please advised tomorrow october doctors deliver training nutrition presentation pm kindly ask bring colleague later than tomorrow pm thank help best regards officer,extra laptop for trainings october trainings importance high hello guys please advised tomorrow october doctors deliver training nutrition presentation pm kindly ask bring colleague later than tomorrow pm thank help best regards officer,33
Hardware,wireless networks scan belgrade re wireless vulnerability hi noticed closed wireless despite specifically keep until receive report closed particular reason doing because report thoughts please re re assign regards friday pm re wireless vulnerability hi performing wireless please fill template report by actual usage mentioned tool documented file by isms detecting responding wireless networks detection over installed onto running detect presence wireless networks over physical environment spaces rooms centres information view tool generates text file file format report produce report document detected wireless networks table which forms inventory wireless networks present example please find attached latest report further please let best regards senior engineer thursday pm re wireless vulnerability hello please help induction session colleagues how manage kind requests thank lead thursday pm re wireless vulnerability hi please follow procedure ask help colleagues other questions keep until confirmation closed looking forward report regards information consultant thursday pm wireless vulnerability hello wireless requested kind regards engineer,wireless networks scan belgrade re wireless vulnerability hi noticed closed wireless despite specifically keep until receive report closed particular reason doing because report thoughts please re re assign regards friday pm re wireless vulnerability hi performing wireless please fill template report by actual usage mentioned tool documented file by isms detecting responding wireless networks detection over installed onto running detect presence wireless networks over physical environment spaces rooms centres information view tool generates text file file format report produce report document detected wireless networks table which forms inventory wireless networks present example please find attached latest report further please let best regards senior engineer thursday pm re wireless vulnerability hello please help induction session colleagues how manage kind requests thank lead thursday pm re wireless vulnerability hi please follow procedure ask help colleagues other questions keep until confirmation closed looking forward report regards information consultant thursday pm wireless vulnerability hello wireless requested kind regards engineer,155
Internal Project,amend pm on wednesday pm hi please make code tasks thank let questions regards,amend pm on wednesday pm hi please make code tasks thank let questions regards,14
Internal Project,create new unknown pipeline unknown pipeline setup form hi please log based bellow thank engineer unknown pipeline setup form hello please proceed unknown code per attached form let additional required thanks best regards,create new unknown pipeline unknown pipeline setup form hi please log based bellow thank engineer unknown pipeline setup form hello please proceed unknown code per attached form let additional required thanks best regards,33
Internal Project,delete project oracle pas pm re dear please ask delete due thank program,delete project oracle pas pm re dear please ask delete due thank program,13
Internal Project,board tuesday july pm board hi board proof concept doing code billing towards please advise more board please assist next steps thanks best regards coordinator north,board tuesday july pm board hi board proof concept doing code billing towards please advise more board please assist next steps thanks best regards coordinator north,26
Internal Project,new project codes to be created pas thursday re codes created both noncommercial code which added every single too code track better billable both same client code please currently says cap says perhaps thought bother given deprecated continue these then create come different approach these probably rush creating these thursday re codes created hi please find attached two forms two codes filling type form please kind well correctness thanks wednesday pm codes created hello please advised order correctly process require completed creation form found tickets raised after receive completed form encounter issues please hesitate thanks kind regards analyst ext hub wednesday pm codes created hi please kind create two codes mg pre thank,new project codes to be created pas thursday re codes created both noncommercial code which added every single too code track better billable both same client code please currently says cap says perhaps thought bother given deprecated continue these then create come different approach these probably rush creating these thursday re codes created hi please find attached two forms two codes filling type form please kind well correctness thanks wednesday pm codes created hello please advised order correctly process require completed creation form found tickets raised after receive completed form encounter issues please hesitate thanks kind regards analyst ext hub wednesday pm codes created hi please kind create two codes mg pre thank,113
Miscellaneous,restart sent friday december restart hello can you please log incident for restart also one additional ticket configure backups for machine thank you best regards senior engineer managed en,restart sent friday december restart hello can you please log incident for restart also one additional ticket configure backups for machine thank you best regards senior engineer managed en,29
Miscellaneous,amend poll description for amend poll description hey guys please help out modify description polls escalation polls log assign please thank please let require other side regards engineer,amend poll description for amend poll description hey guys please help out modify description polls escalation polls log assign please thank please let require other side regards engineer,28
Miscellaneous,expense report not found expense report found hello can you check why expense report here says appears approval thanks head,expense report not found expense report found hello can you check why expense report here says appears approval thanks head,20
Miscellaneous,re old cr to delete re old cr delete hi please log assign appropriate processing please going forward other similar dedicated which allow query resolved faster regards november re old cr delete hi change change also cancelled appears closed complete status while cancelled changes mentioned status cancelled must appearing work queues changes even further action required thanks coordinator ext november re old cr delete hi cr cancelled want move closed completed thanks kind regards consultant tuesday november old cr delete hi please assist moving changes along closed complete kicked thanks coordinator ext november old cr delete cr deleted please regards,re old cr to delete re old cr delete hi please log assign appropriate processing please going forward other similar dedicated which allow query resolved faster regards november re old cr delete hi change change also cancelled appears closed complete status while cancelled changes mentioned status cancelled must appearing work queues changes even further action required thanks coordinator ext november re old cr delete hi cr cancelled want move closed completed thanks kind regards consultant tuesday november old cr delete hi please assist moving changes along closed complete kicked thanks coordinator ext november old cr delete cr deleted please regards,100
Miscellaneous,ram allocation wednesday pm hello inca wednesday pm requisition rejected task application requisition rejected details assignee assigned date expiration date task number requisitioning entered by requisition amount approximately nonrecoverable tax approximately amount approximately description justification hello receiving more often times per error out memory low memory please close idea nearest past error caused by multiple programs opened appears programs opened want make again because past reject got old help much seems thank recommended actions requisition requisition lines view requisition details complete requisition lines previously approved lines view requisition details complete lines table shows lines requisition view requisition more details item description suggested supplier requester cost center quantity price amount amount parent status rejected view requisition details view document history comments please additional attachments display history updated by action performed assignee updated assigned assigned rejected update withdrawn update task completed rejected task completed rejected,ram allocation wednesday pm hello inca wednesday pm requisition rejected task application requisition rejected details assignee assigned date expiration date task number requisitioning entered by requisition amount approximately nonrecoverable tax approximately amount approximately description justification hello receiving more often times per error out memory low memory please close idea nearest past error caused by multiple programs opened appears programs opened want make again because past reject got old help much seems thank recommended actions requisition requisition lines view requisition details complete requisition lines previously approved lines view requisition details complete lines table shows lines requisition view requisition more details item description suggested supplier requester cost center quantity price amount amount parent status rejected view requisition details view document history comments please additional attachments display history updated by action performed assignee updated assigned assigned rejected update withdrawn update task completed rejected task completed rejected,143
Purchase,new delivery intend intend hello received intend headsets partial po please advise please log receiving shipment kind regards engineer ext,new delivery intend intend hello received intend headsets partial po please advise please log receiving shipment kind regards engineer ext,20
Purchase,po thursday po hi please install cl thanks lead po dear purchased cl please log install please process receipt receipts found dashboard thank administrator phone,po thursday po hi please install cl thanks lead po dear purchased cl please log install please process receipt receipts found dashboard thank administrator phone,25
Purchase,new purchase po purchase po dear purchased galaxy tab link please log allocation kind regards administrator,new purchase po purchase po dear purchased galaxy tab link please log allocation kind regards administrator,16
Purchase,new purchase po purchase po dear purchased xxx card please log allocation kind regards administrator,new purchase po purchase po dear purchased xxx card please log allocation kind regards administrator,15
Purchase,new purchase po friday july purchase po dear purchased tv supports ceiling please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,new purchase po friday july purchase po dear purchased tv supports ceiling please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,32
Storage,mailbox problem july pm mailbox problem hello please help mailbox even entered credentials work solved order perform job properly thank accounts payable accountant phone,mailbox problem july pm mailbox problem hello please help mailbox even entered credentials work solved order perform job properly thank accounts payable accountant phone,24
Storage,new shared mailbox co wednesday november pm shared mailbox hello please create shared mailbox name person needs thank regards leader,new shared mailbox co wednesday november pm shared mailbox hello please create shared mailbox name person needs thank regards leader,20
Storage,dormant archive mailboxes thursday july re dormant archive hi needed exported stored acted upon other regular leaver proceeding worth verifying requested pm person thank july dormant archive dear colleagues please mentioned users working these users looks primary mailbox deactivated archive mailbox present users working delete tomb archive archive archive archive archive archive archive archive thanks regards lead ext,dormant archive mailboxes thursday july re dormant archive hi needed exported stored acted upon other regular leaver proceeding worth verifying requested pm person thank july dormant archive dear colleagues please mentioned users working these users looks primary mailbox deactivated archive mailbox present users working delete tomb archive archive archive archive archive archive archive archive thanks regards lead ext,58
Storage,increase mailbox size thursday pm more hello please help by granting more position requires lot keep lot thank lovely communication specialist,increase mailbox size thursday pm more hello please help by granting more position requires lot keep lot thank lovely communication specialist,21
Storage,permissions tuesday permissions dear please give permissions colleagues rights same best regards software tester,permissions tuesday permissions dear please give permissions colleagues rights same best regards software tester,14
